"","Sample","Stage"
"1","GSM1443251",0
"109387","GSM1443256",2
"218773","GSM1443263",1
"328159","GSM1443269",2
"437545","GSM1443270",1
"546931","GSM1443279",3
"656317","GSM1443283",4
"765703","GSM1443285",6
"875089","GSM1443289",6
"984475","GSM1443298",6
"1093861","GSM1443299",6
"1203247","GSM1443304",5
"1312633","GSM1443314",6
"1422019","GSM1443321",3
"1531405","GSM1443326",6
"1640791","GSM1443332",6
"1750177","GSM1443341",6
"1859563","GSM1443349",6
"1968949","GSM1443358",5
"2078335","GSM1443359",5
"2187721","GSM1443364",5
"2297107","GSM1443370",3
"2406493","GSM1443374",6
"2515879","GSM1443381",0
"2625265","GSM1443387",6
"2734651","GSM1443389",6
"2844037","GSM1443395",5
"2953423","GSM1443402",6
"3062809","GSM1443408",6
"3172195","GSM1443413",6
"3281581","GSM1443416",5
"3390967","GSM1443423",6
"3500353","GSM1443428",5
"3609739","GSM1443434",6
"3719125","GSM1443438",6
"3828511","GSM1443443",6
"3937897","GSM1443449",6
"4047283","GSM1443455",1
"4156669","GSM1443459",2
"4266055","GSM1443461",1
"4375441","GSM1443466",5
"4484827","GSM1443473",0
"4594213","GSM1443475",0
"4703599","GSM1443482",0
"4812985","GSM1443485",5
"4922371","GSM1443494",0
"5031757","GSM1443495",0
"5141143","GSM1443497",3
"5250529","GSM1443503",3
"5359915","GSM1443509",6
"5469301","GSM1443513",6
"5578687","GSM1443518",3
"5688073","GSM1443522",2
"5797459","GSM1443527",1
"5906845","GSM1443531",1
"6016231","GSM1443534",6
"6125617","GSM1443541",3
"6235003","GSM1443547",4
"6344389","GSM1443550",3
"6453775","GSM1443557",5
"6563161","GSM1443563",6
"6672547","GSM1443565",6
"6781933","GSM1443573",6
"6891319","GSM1443577",4
"7000705","GSM1443583",6
"7110091","GSM1443586",4
"7219477","GSM1443592",6
"7328863","GSM1443597",5
"7438249","GSM1443603",6
"7547635","GSM1443611",6
"7657021","GSM1443615",6
"7766407","GSM1443621",5
"7875793","GSM1443625",6
"7985179","GSM1443626",6
"8094565","GSM1443632",3
"8203951","GSM1443640",3
"8313337","GSM1443643",6
"8422723","GSM1443648",5
"8532109","GSM1443654",6
"8641495","GSM1443656",1
"8750881","GSM1443663",5
"8860267","GSM1443669",6
"8969653","GSM1443671",6
"9079039","GSM1443676",1
"9188425","GSM1443683",6
"9297811","GSM1443685",2
"9407197","GSM1443691",4
"9516583","GSM1443697",5
"9625969","GSM1443700",5
"9735355","GSM1443704",5
"9844741","GSM1443716",2
"9954127","GSM1443720",6
"10063513","GSM1443723",3
"10172899","GSM1443729",6
"10282285","GSM1443731",6
"10391671","GSM1443739",6
"10501057","GSM1443741",5
"10610443","GSM1443745",1
"10719829","GSM1443751",6
"10829215","GSM1443755",1
"10938601","GSM1443756",2
"11047987","GSM1443761",6
"11157373","GSM1443765",0
"11266759","GSM1443768",3
"11376145","GSM1443773",6
"11485531","GSM1443776",5
"11594917","GSM1443781",6
"11704303","GSM1443787",3
"11813689","GSM1443788",1
"11923075","GSM1443792",2
